shortid,name,physical_tag_id,coband_color,pattern,ink_color,valid_until
12407,Yamal,3077,,,,
12378,Williams,305a,,,,
12409,Rodri,3079,,,,
12380,Torres,305c,,,,2026-07-24T14:23:00-04:00
12395,Olmo,306b,,,,
12386,Oyarzabal,3062,,,,
