shortid,name,physical_tag_id,coband_color,pattern,ink_color,valid_until
12378,Siesta,305a,Blue,Vertical Line,Silver,
12395,Sen,306b,Green,Open Circle,Copper,
12407,Dormi,3077,Red,N/A,N/A,
12386,Nox,3062,Yellow,Filled Circle,Purple,
12409,Sova,3079,White,Triangle with Line,Pink,2026-06-29T15:00:00-04:00
12380,Hypnos,305c,Black,X,Silver,
