shortid,name,physical_tag_id,coband_color,pattern,ink_color,valid_until
12409,SF01 Naughty,3079,Black,,,
12407,SF02 Puffy,3077,Green,,,
12383,SF03 Theta,305f,White,,,
12378,SF04 Ripples,305a,Red,,,
12386,SF05 Maria,3062,Yellow,,,
12395,SF06 Barrs,306b,Blue,,,2026-08-19T15:30:00-04:00
