shortid,n_frames,mean_x,mean_y,median_x,median_y,std_x,std_y,rms_jitter,mean_z,median_z,std_z,jitter_p50,jitter_p75,jitter_p90,jitter_p95,true_x,true_y,bias_x,bias_y,bias_mag,mean_error,median_error,rmse,error_p50,error_p75,error_p90,error_p95
12378,478214,618.3914968979924,727.7008928355498,618.6608127435502,729.197158173145,4.270159428271843,6.518253044001517,7.9393466528204755,0.0,0.0,0.0,3.0484063907878105,5.247023286960622,10.85191088982263,15.274390990268996,0.0,0.0,618.3914968979924,727.7008928355498,954.9642050199558,954.9765789942196,956.3232128043751,954.9959972448495,956.3232128043751,958.1524939246967,959.8130625461007,960.8683542944144
12380,469688,614.2603199399085,734.7878837239828,614.3669397585326,736.3251454303561,4.367087872575708,6.345435827230548,7.855606511524391,0.0,0.0,0.0,3.3943745429546266,5.8637040352600245,12.039315298049274,15.71285499694167,0.0,0.0,614.2603199399085,734.7878837239828,957.7207185397255,957.7338217246775,958.9619055061646,957.7516957607395,958.9619055061646,960.9783091121126,962.7054976252134,963.9065491965864
12386,501088,423.49087459272704,727.4755241152486,423.426170546457,727.7961627165203,4.028898076790747,5.022634799372502,6.447160287077166,0.0,0.0,0.0,3.87508796440283,5.899442268601368,9.503399429140801,12.501411294383,,,,,,,,,,,,
12395,474720,613.3734182939112,733.1245738556053,613.898276140912,733.9753450519069,4.497973784519684,5.543216073483796,7.208210595672839,0.0,0.0,0.0,3.186159682559898,4.97581241649635,10.003993208971199,15.56725472649903,0.0,0.0,613.3734182939112,733.1245738556053,955.8758240799482,955.8867656520545,957.0828826644733,955.9024793738761,957.0828826644733,958.6205484926751,959.9318924287832,960.8652377596529
12407,500710,424.26186897198085,729.5074331770282,424.0435925428965,730.390741309959,4.26021013111426,5.161712197724559,6.754297967263722,0.0,0.0,0.0,3.3381607456963205,5.850600323673278,10.94196113553688,13.792588608849977,0.0,0.0,424.26186897198085,729.5074331770282,843.9071207924095,843.9167467648376,844.4864357506176,843.9336592335369,844.4864357506176,847.0121509808297,848.9556225341191,850.1375255146152
12409,503584,421.8859847301549,736.902897347062,421.672313965626,737.5501859357555,4.108150766656554,5.4702565966931225,6.8749725576116045,0.0,0.0,0.0,4.102123762041295,6.31728154688227,9.766986500004574,13.380802680757776,,,,,,,,,,,,
